Emp ID,First Name,Last Name,DOB,SSN,State
1128,Jessica,Sheppard,5/24/70,###-##-4987,RI
1988,Sarah,Rodriguez,7/18/86,###-##-8700,WY
573,Steven,Parker,9/20/81,###-##-5891,NE
107,Patricia,Bennett,6/08/84,###-##-0424,LA
2040,Lisa,Mathis,1/27/57,###-##-3247,WI
1103,Dale,Garza,9/01/82,###-##-4719,MI
748,Jeffrey,Guerra,10/22/83,###-##-9519,VT
1516,Anthony,Martinez,1/16/58,###-##-0874,OR
1143,Jorge,Howard,4/18/82,###-##-0640,KY
1374,Jennifer,Austin,4/10/84,###-##-4858,WA
1517,Calvin,Sosa,2/28/69,###-##-8986,PA
1649,Isaac,Franco,8/29/89,###-##-3428,ND
566,Norman,Harris,2/10/81,###-##-7233,MN
965,Becky,Carroll,8/16/92,###-##-3619,TX
277,Kellie,Montgomery,3/11/70,###-##-8490,ME
696,Amber,Mullen,5/23/87,###-##-5573,NM
1356,Andrew,Bennett,10/02/88,###-##-5167,OK
1443,Jacob,Taylor,10/16/88,###-##-1835,CA
1423,Gregory,Day,6/07/82,###-##-9482,NV
160,Danielle,Smith,1/31/72,###-##-3726,AZ
1540,Nathan,Sims,6/29/82,###-##-4681,AK
1305,Lisa,Lawrence,12/19/57,###-##-9699,TN
299,Kristen,Morales,5/17/63,###-##-4085,SD
1285,Lee,Terry,2/26/65,###-##-3702,ME
172,Vincent,Williams,3/03/74,###-##-3233,OR
1837,James,Mcfarland,5/29/92,###-##-7711,TX
231,Arthur,Lawrence,6/11/74,###-##-4845,SC
743,Randy,Christian,11/01/62,###-##-4642,MT
290,Ashley,Hurley,8/20/70,###-##-6712,SD
1691,Sarah,Stewart,2/02/69,###-##-1055,IN
1744,Justin,Williams,6/09/76,###-##-4152,WA
615,Frederick,Sanchez,7/21/78,###-##-8901,OR
1427,Sarah,Baldwin,1/10/64,###-##-3313,SC
252,John,Larson,3/13/89,###-##-9091,CT
1418,Christina,Nielsen,4/18/57,###-##-4490,SD
